year,origin,total_riders,lng,lat,id
2012,16th Street Mission,139202.39277360067,-122.4197081435102,37.7650542393208,2012 16th Street Mission
2012,Civic Center/UN Plaza,259923.2760638421,-122.4139364152155,37.77939386076292,2012 Civic Center/UN Plaza
2012,Embarcadero,420902.64112818276,-122.3969009943397,37.79285391372564,2012 Embarcadero
2012,Montgomery Street,426758.17905831774,-122.401174710598,37.78944952039291,2012 Montgomery Street
2012,Powell Street,375096.12325494236,-122.407017658827,37.78487089662782,2012 Powell Street
2013,16th Street Mission,140010.91946533,-122.4197081435102,37.7650542393208,2013 16th Street Mission
2013,Civic Center/UN Plaza,264939.88714589505,-122.4139364152155,37.77939386076292,2013 Civic Center/UN Plaza
2013,Embarcadero,435648.17211969325,-122.3969009943397,37.79285391372564,2013 Embarcadero
2013,Montgomery Street,438422.9061707299,-122.401174710598,37.78944952039291,2013 Montgomery Street
2013,Powell Street,378896.64589504065,-122.407017658827,37.78487089662782,2013 Powell Street
2014,16th Street Mission,150795.83602723386,-122.4197081435102,37.7650542393208,2014 16th Street Mission
2014,Civic Center/UN Plaza,288729.61609236995,-122.4139364152155,37.77939386076292,2014 Civic Center/UN Plaza
2014,Embarcadero,460121.7804068996,-122.3969009943397,37.79285391372564,2014 Embarcadero
2014,Montgomery Street,486052.8575717368,-122.401174710598,37.78944952039291,2014 Montgomery Street
2014,Powell Street,398747.5488252717,-122.407017658827,37.78487089662782,2014 Powell Street
2015,16th Street Mission,158395.82722336144,-122.4197081435102,37.7650542393208,2015 16th Street Mission
2015,Civic Center/UN Plaza,304376.64711019973,-122.4139364152155,37.77939386076292,2015 Civic Center/UN Plaza
2015,Embarcadero,482021.0779486595,-122.3969009943397,37.79285391372564,2015 Embarcadero
2015,Montgomery Street,516960.32706007443,-122.401174710598,37.78944952039291,2015 Montgomery Street
2015,Powell Street,405600.2086276297,-122.407017658827,37.78487089662782,2015 Powell Street
2016,16th Street Mission,156370.26609359367,-122.4197081435102,37.7650542393208,2016 16th Street Mission
2016,Civic Center/UN Plaza,310434.46330202976,-122.4139364152155,37.77939386076292,2016 Civic Center/UN Plaza
2016,Embarcadero,501900.4474144848,-122.3969009943397,37.79285391372564,2016 Embarcadero
2016,Montgomery Street,532491.5573652511,-122.401174710598,37.78944952039291,2016 Montgomery Street
2016,Powell Street,397460.77316066844,-122.407017658827,37.78487089662782,2016 Powell Street
2017,16th Street Mission,150235.7172689629,-122.4197081435102,37.7650542393208,2017 16th Street Mission
2017,Civic Center/UN Plaza,303024.18356464285,-122.4139364152155,37.77939386076292,2017 Civic Center/UN Plaza
2017,Embarcadero,493388.57728610054,-122.3969009943397,37.79285391372564,2017 Embarcadero
2017,Montgomery Street,520056.8233013364,-122.401174710598,37.78944952039291,2017 Montgomery Street
2017,Powell Street,369843.0379080112,-122.407017658827,37.78487089662782,2017 Powell Street
2018,16th Street Mission,148425.886001235,-122.4197081435102,37.7650542393208,2018 16th Street Mission
2018,Civic Center/UN Plaza,292666.3154097364,-122.4139364152155,37.77939386076292,2018 Civic Center/UN Plaza
2018,Embarcadero,494357.9732813589,-122.3969009943397,37.79285391372564,2018 Embarcadero
2018,Montgomery Street,517834.1260958721,-122.401174710598,37.78944952039291,2018 Montgomery Street
2018,Powell Street,357517.43415521673,-122.407017658827,37.78487089662782,2018 Powell Street
2019,16th Street Mission,155766.96297562087,-122.4197081435102,37.7650542393208,2019 16th Street Mission
2019,Civic Center/UN Plaza,296275.8296954507,-122.4139364152155,37.77939386076292,2019 Civic Center/UN Plaza
2019,Embarcadero,494666.78212956636,-122.3969009943397,37.79285391372564,2019 Embarcadero
2019,Montgomery Street,512191.53797751956,-122.401174710598,37.78944952039291,2019 Montgomery Street
2019,Powell Street,351098.60822131083,-122.407017658827,37.78487089662782,2019 Powell Street
2020,16th Street Mission,46161.24479760006,-122.4197081435102,37.7650542393208,2020 16th Street Mission
2020,Civic Center/UN Plaza,86517.27718538772,-122.4139364152155,37.77939386076292,2020 Civic Center/UN Plaza
2020,Embarcadero,115961.20434039645,-122.3969009943397,37.79285391372564,2020 Embarcadero
2020,Montgomery Street,121325.2474025974,-122.401174710598,37.78944952039291,2020 Montgomery Street
2020,Powell Street,97201.3308080808,-122.407017658827,37.78487089662782,2020 Powell Street
2021,16th Street Mission,34500.705050670156,-122.4197081435102,37.7650542393208,2021 16th Street Mission
2021,Civic Center/UN Plaza,58011.427671946665,-122.4139364152155,37.77939386076292,2021 Civic Center/UN Plaza
2021,Embarcadero,62382.370292826934,-122.3969009943397,37.79285391372564,2021 Embarcadero
2021,Montgomery Street,58462.44895687836,-122.401174710598,37.78944952039291,2021 Montgomery Street
2021,Powell Street,78766.51146740369,-122.407017658827,37.78487089662782,2021 Powell Street
2022,16th Street Mission,54506.1420760399,-122.4197081435102,37.7650542393208,2022 16th Street Mission
2022,Civic Center/UN Plaza,92371.22298136646,-122.4139364152155,37.77939386076292,2022 Civic Center/UN Plaza
2022,Embarcadero,132584.92543760588,-122.3969009943397,37.79285391372564,2022 Embarcadero
2022,Montgomery Street,109155.70365142105,-122.401174710598,37.78944952039291,2022 Montgomery Street
2022,Powell Street,124434.18642951251,-122.407017658827,37.78487089662782,2022 Powell Street
