origin,destination,orig_lng,orig_lat,dest_lng,dest_lat,route,idx
12th Street Oakland City Center,19th Street Oakland,-122.2716760457216,37.80359016475856,-122.2686539732401,37.80849328724776,12th Street Oakland City Center to 19th Street Oakland,1
16th Street Mission,Civic Center/UN Plaza,-122.4197081435102,37.7650542393208,-122.4139364152155,37.77939386076292,16th Street Mission to Civic Center/UN Plaza,2
19th Street Oakland,MacArthur,-122.2686539732401,37.80849328724776,-122.2670634889679,37.82908330072804,19th Street Oakland to MacArthur,3
24th Street Mission,16th Street Mission,-122.4184678760467,37.75223145165567,-122.4197081435102,37.7650542393208,24th Street Mission to 16th Street Mission,4
Ashby,Downtown Berkeley,-122.2699939627478,37.85257465083503,-122.2681588195891,37.870316112485,Ashby to Downtown Berkeley,5
Balboa Park,Glen Park,-122.4475873574918,37.72135058802746,-122.4337900883828,37.73311239451958,Balboa Park to Glen Park,6
Bay Fair,Castro Valley,-122.1264596293894,37.69691620335457,-122.0756066931696,37.69074797609731,Bay Fair to Castro Valley,7
Bay Fair,Hayward,-122.1264596293894,37.69691620335457,-122.0869599532775,37.66969738355485,Bay Fair to Hayward,8
Castro Valley,West Dublin/Pleasanton,-122.0756066931696,37.69074797609731,-121.9280770983016,37.69975069922069,Castro Valley to West Dublin/Pleasanton,9
Civic Center/UN Plaza,Powell Street,-122.4139364152155,37.77939386076292,-122.407017658827,37.78487089662782,Civic Center/UN Plaza to Powell Street,10
Coliseum,Oakland International Airport,-122.1968592134024,37.75368874735485,-122.2124401712401,37.71297181882021,Coliseum to Oakland International Airport,11
Coliseum,San Leandro,-122.1968592134024,37.75368874735485,-122.1607506968877,37.72178541354254,Coliseum to San Leandro,12
Colma,Daly City,-122.4662231559497,37.68462160749755,-122.4689119071663,37.70633321337765,Colma to Daly City,13
Concord,North Concord/Martinez,-122.0290620224699,37.97382498587121,-122.0245523142489,38.00332451679782,Concord to North Concord/Martinez,14
Daly City,Balboa Park,-122.4689119071663,37.70633321337765,-122.4475873574918,37.72135058802746,Daly City to Balboa Park,15
Downtown Berkeley,North Berkeley,-122.2681588195891,37.870316112485,-122.2835440605503,37.87400975559205,Downtown Berkeley to North Berkeley,16
El Cerrito Plaza,El Cerrito del Norte,-122.2989484071957,37.90263522650326,-122.3169151214355,37.92519241672761,El Cerrito Plaza to El Cerrito del Norte,17
El Cerrito del Norte,Richmond,-122.3169151214355,37.92519241672761,-122.3529765513423,37.93676312548746,El Cerrito del Norte to Richmond,18
